Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
14.5038,14.3587,0.50855,-0.0492328,-0.0490696,-0.00957738,-0.019488,0.495211,0.490256
14.9164,15.4297,1.2899,-0.0295839,-0.0299214,-0.00767381,0.0264704,0.496163,0.513235
14.9657,15.2255,2.67276,-0.02466,-0.0248017,-0.0107474,0.00642493,0.494626,0.503212
14.5836,16.3205,2.85971,0.00489273,0.00507743,-0.0718839,0.0386532,0.464058,0.519327
15.1829,16.36,3.60319,0.0209317,0.0214531,-0.0530414,0.0203755,0.473479,0.510188
15.4132,15.3035,0.304314,0.0025057,0.00249981,-0.0160159,-0.0230217,0.491992,0.488489
15.849,16.449,1.51063,0.0221562,0.0224334,-0.0126363,0.0247466,0.493682,0.512373
15.9664,16.4083,2.46552,0.0311043,0.0313881,-0.0161857,0.0110443,0.491907,0.505522
15.8192,16.4867,5.16086,0.0373878,0.0379021,-0.0329014,0.00790736,0.483549,0.503954
14.493,16.4714,34.6568,0.0391102,0.0407453,-0.117052,0.00347782,0.441474,0.501739
15.5891,16.5256,16.7967,0.0427469,0.0435718,-0.0534754,0.00338522,0.473262,0.501693
14.0028,15.3518,-2.45605,0.0139954,0.0144076,-0.119375,-0.034541,0.440312,0.482729
14.8428,15.9513,44.0281,0.0154934,0.0158611,-0.068021,0.00158085,0.46599,0.50079
13.9276,15.1732,-3.34916,-0.00341431,-0.00350877,-0.10405,-0.0239242,0.447975,0.488038
15.4409,15.8775,2.61227,0.00484756,0.00489272,-0.0171516,0.0106382,0.491424,0.505319
15.7674,16.1769,1.74314,0.0166011,0.0167438,-0.0109515,0.0147368,0.494524,0.507368
16.2733,17.1796,1.43762,0.0472992,0.0481674,-0.0166697,0.0380914,0.491665,0.519046
16.0252,16.173,-0.790073,0.037676,0.0377902,-0.0204638,-0.0114318,0.489768,0.494284
15.793,15.8065,-0.04925,0.0235892,0.0235959,-0.0179032,-0.0170629,0.491048,0.491469
