Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
14.5054,14.3587,0.514087,-0.0492346,-0.0490696,-0.00946947,-0.019488,0.495265,0.490256
14.9191,15.4297,1.28327,-0.0295856,-0.0299214,-0.00749828,0.0264704,0.496251,0.513235
14.9684,15.2255,2.64529,-0.0246615,-0.0248017,-0.0105709,0.00642493,0.494715,0.503212
14.5829,16.3205,2.86089,0.00489265,0.00507743,-0.0719292,0.0386532,0.464035,0.519327
15.1831,16.36,3.60259,0.0209317,0.0214531,-0.053029,0.0203755,0.473486,0.510188
15.4152,15.3035,0.309824,0.0025058,0.00249981,-0.015889,-0.0230217,0.492055,0.488489
15.8509,16.449,1.50566,0.0221571,0.0224334,-0.0125133,0.0247466,0.493743,0.512373
15.9684,16.4083,2.45475,0.0311055,0.0313881,-0.0160667,0.0110443,0.491967,0.505522
15.8203,16.4867,5.15226,0.0373887,0.0379021,-0.0328334,0.00790736,0.483583,0.503954
14.4912,16.4714,34.6881,0.0391088,0.0407453,-0.117161,0.00347782,0.441419,0.501739
15.5897,16.5256,16.7852,0.0427474,0.0435718,-0.0534362,0.00338522,0.473282,0.501693
14.0012,15.3518,-2.45907,0.0139949,0.0144076,-0.11948,-0.034541,0.44026,0.482729
14.8424,15.9513,44.0421,0.0154932,0.0158611,-0.0680431,0.00158085,0.465978,0.50079
13.9263,15.1732,-3.35278,-0.0034142,-0.00350877,-0.104137,-0.0239242,0.447932,0.488038
15.4424,15.8775,2.60337,0.00484771,0.00489272,-0.017057,0.0106382,0.491472,0.505319
15.7697,16.1769,1.73319,0.016602,0.0167438,-0.0108049,0.0147368,0.494598,0.507368
16.2754,17.1796,1.4343,0.0473012,0.0481674,-0.016543,0.0380914,0.491729,0.519046
16.0272,16.173,-0.779592,0.0376775,0.0377902,-0.0203439,-0.0114318,0.489828,0.494284
15.7951,15.8065,-0.0415973,0.0235903,0.0235959,-0.0177727,-0.0170629,0.491114,0.491469
16.1611,16.7087,1.72794,0.0393675,0.039808,-0.0140738,0.0193336,0.492963,0.509667
15.9737,16.1545,-1.52974,0.0332867,0.0334108,-0.0183759,-0.00726395,0.490812,0.496368
15.8023,16.0986,-3.41084,0.0288199,0.0289971,-0.0236682,-0.00536592,0.488166,0.497317
14.7808,15.4814,-2.01313,0.0106951,0.0108565,-0.0662522,-0.0219878,0.466874,0.489006
15.8003,16.4278,2.07837,0.0258459,0.0261834,-0.0201884,0.0187212,0.489906,0.509361
15.7146,15.7759,-0.351999,0.0169801,0.017002,-0.0147523,-0.0109115,0.492624,0.494544
15.5646,16.3439,3.93189,0.0267044,0.0271392,-0.0359921,0.0122761,0.482004,0.506138
15.6815,15.94,-2.52042,0.0216133,0.0217302,-0.0225005,-0.00639142,0.48875,0.496804
16.1628,17.6444,1.80684,0.0607619,0.0625691,-0.0393238,0.0487383,0.480338,0.524369
16.284,18.3332,2.65919,0.0967314,0.100587,-0.0728021,0.0438782,0.463599,0.521939
17.0859,17.4438,-6.03239,0.0953455,0.0960006,-0.0238385,-0.00338981,0.488081,0.498305
16.7173,16.9858,-1.0455,0.0820056,0.0824355,-0.0304582,-0.0148903,0.484771,0.492555
16.6165,17.7811,4.29134,0.0948051,0.0969433,-0.0510128,0.0154991,0.474494,0.50775
17.1761,17.5203,65.0255,0.0960909,0.0967245,-0.0193505,0.000302232,0.490325,0.500151
17.3049,17.9624,2.92112,0.10715,0.108485,-0.0243786,0.0126898,0.487811,0.506345
17.8073,18.7189,1.83269,0.131665,0.133877,-0.0227318,0.0272991,0.488634,0.51365
17.8022,18.3195,10.5388,0.134004,0.135279,-0.0256249,0.00268639,0.487188,0.501343
17.8929,18.4854,5.49626,0.139378,0.140889,-0.0263723,0.00586538,0.486814,0.502933
17.7834,18.1692,-3.71252,0.134087,0.135039,-0.026801,-0.0056872,0.486599,0.497156
18.0333,18.7739,2.93757,0.146652,0.148624,-0.0263731,0.0136114,0.486813,0.506806
18.1277,19.5273,2.74742,0.170498,0.174746,-0.046806,0.0267858,0.476597,0.513393
18.3233,19.0047,-103.036,0.170779,0.172844,-0.036187,-0.00034783,0.481906,0.499826
15.8446,16.7516,-0.828978,0.109301,0.111224,-0.112132,-0.0613083,0.443934,0.469346
16.6768,18.4784,5.64636,0.12598,0.130263,-0.081636,0.0175699,0.459182,0.508785
16.5513,20.5455,3.24758,0.179365,0.192348,-0.143114,0.0636748,0.428443,0.531837
18.123,18.7508,-2.2403,0.171106,0.173018,-0.047717,-0.0147261,0.476142,0.492637
17.8442,18.3962,-1.75358,0.155148,0.156698,-0.0463235,-0.016823,0.476838,0.491588
15.3563,16.2397,-0.741268,0.0888007,0.0903629,-0.119056,-0.0683731,0.440472,0.465813
15.9067,18.2995,5.44832,0.110121,0.115224,-0.109385,0.0245902,0.445307,0.512295
17.602,18.2567,3.28517,0.123273,0.124776,-0.0252214,0.011037,0.487389,0.505518
16.9299,16.8506,0.133696,0.0921673,0.0920263,-0.0294502,-0.0339952,0.485275,0.483002
17.3656,18.3548,2.14386,0.114832,0.116969,-0.0294967,0.0257869,0.485252,0.512893
17.3762,17.8352,-15.7962,0.113449,0.114429,-0.0273203,-0.00162658,0.48634,0.499187
17.2208,17.5954,-2.79693,0.106592,0.10735,-0.0286819,-0.00755396,0.485659,0.496223
15.9513,15.7704,0.19025,0.0554525,0.0552494,-0.0460435,-0.0568614,0.476978,0.471569
15.37,16.3554,-5.41797,0.0458531,0.0467857,-0.0705829,-0.0109977,0.464709,0.494501
16.5842,17.2838,1.85395,0.0653243,0.0662311,-0.0190601,0.02232,0.49047,0.51116
16.0317,15.9262,0.218592,0.0401186,0.0400319,-0.0229916,-0.0294233,0.488504,0.485288
15.4726,15.3344,0.261715,0.0125177,0.0124811,-0.0245837,-0.0332984,0.487708,0.483351
13.6949,15.1174,-3.8647,-0.00631689,-0.00651807,-0.115633,-0.0237698,0.442183,0.488115
15.428,16.8396,2.04224,0.0267621,0.0275536,-0.0446103,0.0428023,0.477695,0.521401
15.8866,16.1907,14.3503,0.0280751,0.0282522,-0.0174986,0.00131072,0.491251,0.500655
15.9242,17.6161,2.29008,0.0630514,0.0651987,-0.0564712,0.0437735,0.471764,0.521887
16.9625,18.2098,1.83732,0.0964699,0.0987828,-0.0324242,0.0387239,0.483788,0.519362
16.9177,17.152,-1.24292,0.0871155,0.0875109,-0.024374,-0.0108671,0.487813,0.494566
17.5164,18.4777,1.6641,0.115477,0.117559,-0.0214325,0.0322729,0.489284,0.516136
17.0884,17.1021,-0.0346668,0.0950287,0.0950536,-0.023324,-0.0225425,0.488338,0.488729
15.9526,16.0892,-0.198276,0.0582415,0.0584022,-0.0491994,-0.0410585,0.4754,0.479471
16.9903,18.7541,1.73694,0.106574,0.110157,-0.0421872,0.0572464,0.478906,0.528623
16.7291,18.3174,5.44464,0.119763,0.123367,-0.0719333,0.0161843,0.464033,0.508092
17.841,18.6206,2.59988,0.136516,0.13847,-0.0261854,0.0163671,0.486907,0.508184
17.9357,19.8544,2.4527,0.172464,0.178364,-0.0595849,0.0410167,0.470208,0.520508
15.3258,17.1643,-1.97964,0.119704,0.123977,-0.15295,-0.0513319,0.423525,0.474334
15.7577,17.633,-8.205,0.109864,0.113866,-0.117788,-0.0127961,0.441106,0.493602
16.1482,17.0146,-2.07102,0.0902682,0.0918014,-0.0736992,-0.0239983,0.46315,0.488001
16.6071,18.7646,3.18185,0.122369,0.127371,-0.0817966,0.0374896,0.459102,0.518745
17.3383,17.7651,-2.66805,0.116302,0.117236,-0.0327336,-0.00892399,0.483633,0.495538
17.574,18.2867,3.92198,0.125502,0.127165,-0.0293297,0.0100376,0.485335,0.505019
17.5975,18.1978,12.9311,0.127789,0.129212,-0.0305147,0.00255757,0.484743,0.501279
17.8535,18.5799,3.37083,0.138644,0.14049,-0.027821,0.0117347,0.486089,0.505867
17.8545,18.2586,-7.65991,0.136103,0.137113,-0.0249541,-0.00288156,0.487523,0.498559
17.9816,18.9816,2.95787,0.152322,0.155078,-0.0355051,0.0181345,0.482247,0.509067
17.9264,18.6039,-34.1779,0.151227,0.153084,-0.037443,-0.00106439,0.481278,0.499468
18.0378,18.5021,-7.65525,0.148625,0.149876,-0.0282839,-0.00326783,0.485858,0.498366
18.2621,19.5927,2.54946,0.173406,0.177497,-0.0424058,0.0273681,0.478797,0.513684
18.95,20.1792,2.18717,0.20139,0.205645,-0.0340133,0.0286507,0.482993,0.514325
19.3253,20.9352,2.40397,0.233032,0.2393,-0.0463951,0.0330456,0.476802,0.516523
19.4856,20.1571,-12.4126,0.23113,0.233721,-0.0358998,-0.00267657,0.48205,0.498662
19.6579,20.6716,4.37941,0.242446,0.246505,-0.0382691,0.0113242,0.480865,0.505662
19.5427,20.1684,-4.62274,0.23566,0.238111,-0.0374848,-0.00666665,0.481258,0.496667
20.0244,21.0703,2.7039,0.255225,0.259573,-0.0318641,0.0187007,0.484068,0.50935
20.2867,21.2456,3.38947,0.269249,0.273399,-0.0322488,0.0134962,0.483876,0.506748
20.1101,20.8227,-10.1972,0.265253,0.268307,-0.0374533,-0.00334489,0.481273,0.498328
19.7352,20.4504,-3.25263,0.253414,0.256381,-0.0452408,-0.0106383,0.47738,0.494681
20.7096,22.0719,1.91262,0.289407,0.295623,-0.0304324,0.0333461,0.484784,0.516673
21.5105,23.103,1.79168,0.332319,0.340345,-0.0316769,0.0400124,0.484162,0.520006
21.2371,22.201,-145.756,0.330642,0.335496,-0.0437014,-0.000297782,0.478149,0.499851
21.1087,21.9254,-5.80639,0.32358,0.327631,-0.0433862,-0.00637434,0.478307,0.496813
19.0322,20.876,-3.14229,0.28639,0.294913,-0.113249,-0.0273398,0.443375,0.48633
21.4088,22.8116,2.04883,0.327837,0.334841,-0.0324546,0.0309437,0.483773,0.515472
21.1322,22.0555,-25.8918,0.324836,0.329428,-0.043412,-0.00161432,0.478294,0.499193
21.6536,22.7845,3.23755,0.343081,0.348914,-0.0348402,0.0155707,0.48258,0.507785
21.8367,23.2818,3.38265,0.362986,0.370752,-0.0445395,0.0186933,0.47773,0.509347
22.1844,23.0535,8.72056,0.369332,0.374046,-0.0335191,0.00434154,0.48324,0.502171
21.1667,22.1461,-2.447,0.345571,0.350679,-0.0611918,-0.0177522,0.469404,0.491124
21.0511,23.6009,4.78109,0.368244,0.38222,-0.0874165,0.0231194,0.456292,0.51156
22.057,26.2955,2.54291,0.442777,0.469092,-0.104418,0.0676761,0.447791,0.533838
23.1393,24.5679,-47.0084,0.448157,0.457008,-0.0593149,-0.00123551,0.470343,0.499382
23.336,23.7718,-1.06383,0.430904,0.433523,-0.0349649,-0.0169418,0.482518,0.491529
23.3432,24.6922,5.25532,0.442223,0.450483,-0.0446996,0.0105044,0.47765,0.505252
23.4858,24.5388,20.3651,0.445383,0.451855,-0.0408906,0.00211156,0.479555,0.501056
23.9722,24.9951,4.0067,0.459595,0.465995,-0.031027,0.0103193,0.484487,0.50516
24.1992,25.5265,3.34822,0.478281,0.486807,-0.0370441,0.0157754,0.481478,0.507888
23.5721,24.4703,-2.74106,0.459658,0.465301,-0.0494343,-0.013214,0.475283,0.493393
23.901,24.9119,17.729,0.46424,0.470615,-0.0383772,0.00229405,0.480811,0.501147
23.7306,24.4097,-3.0652,0.453282,0.4575,-0.036569,-0.00899561,0.481716,0.495502
24.6186,26.1381,1.98736,0.491723,0.501636,-0.0297514,0.0301321,0.485124,0.515066
23.7422,23.9417,-0.28274,0.454059,0.455299,-0.0367184,-0.028625,0.481641,0.485687
20.143,21.8649,-1.27592,0.369711,0.379273,-0.132304,-0.0581321,0.433848,0.470934
19.9692,20.6189,-0.515952,0.309494,0.31265,-0.0872576,-0.0575596,0.456371,0.47122
17.8526,18.914,-0.743257,0.230781,0.234966,-0.122388,-0.0702063,0.438806,0.464897
20.1211,24.8544,1.99801,0.337412,0.361948,-0.105149,0.105359,0.447425,0.552679
19.9585,21.4783,-3.05291,0.313841,0.321304,-0.0918085,-0.0226525,0.454096,0.488674
19.9092,21.4997,-6.71534,0.302829,0.310428,-0.0840695,-0.0108964,0.457965,0.494552
20.3911,22.2931,6.79256,0.317633,0.327012,-0.0736854,0.0127207,0.463157,0.50636
20.6276,21.3722,-2.34115,0.304153,0.307692,-0.048996,-0.0146644,0.475502,0.492668
20.5096,23.0062,3.73954,0.332857,0.345606,-0.0818773,0.0298872,0.459061,0.514944
21.2064,22.2355,-19.9918,0.334082,0.339309,-0.0484863,-0.00230977,0.475757,0.498845
21.8173,23.1094,3.1142,0.355666,0.362505,-0.0386545,0.0182833,0.480673,0.509142
21.535,22.9599,10.7079,0.360118,0.367755,-0.0565927,0.00582952,0.471704,0.502915
21.6485,23.4314,5.85941,0.374177,0.384001,-0.0639319,0.0131563,0.468034,0.506578
22.8811,24.5807,2.30333,0.413118,0.423068,-0.0403355,0.0309479,0.479832,0.515474
23.6399,24.9319,2.34641,0.441631,0.449512,-0.0304067,0.0225835,0.484797,0.511292
22.8209,23.8366,-3.75119,0.424525,0.430596,-0.0533668,-0.0112323,0.473317,0.494384
22.7878,23.2266,-1.00553,0.404543,0.407075,-0.0369806,-0.0184393,0.48151,0.49078
22.9274,23.915,7.81619,0.410969,0.416726,-0.0362038,0.00531144,0.481898,0.502656
23.7914,25.318,1.9657,0.449673,0.459093,-0.0305591,0.0316445,0.48472,0.515822
24.4021,25.733,2.2076,0.479585,0.488133,-0.0289694,0.0239892,0.485515,0.511995
24.8807,26.2943,2.40132,0.508056,0.517469,-0.0320914,0.0229008,0.483954,0.51145
24.639,25.6818,-87.6198,0.505925,0.512864,-0.0410493,-0.000463207,0.479475,0.499768
23.8237,24.2154,-0.537782,0.467664,0.470149,-0.0448958,-0.0291952,0.477552,0.485402
23.9031,25.5612,5.33662,0.481665,0.4924,-0.0533626,0.0123051,0.473319,0.506153
24.4946,25.5078,7.85505,0.491147,0.497759,-0.034839,0.00508224,0.48258,0.502541
24.1128,24.9992,-4.68804,0.480288,0.486004,-0.042698,-0.00750662,0.478651,0.496247
23.3444,23.6283,-0.369855,0.440471,0.442204,-0.043098,-0.0314617,0.478451,0.484269
22.841,24.0216,-6.33294,0.429102,0.436211,-0.0564687,-0.0077007,0.471766,0.49615
23.3278,24.245,49.4799,0.432856,0.438387,-0.0370949,0.000765161,0.481453,0.500383
23.7774,25.3208,2.79001,0.459605,0.469281,-0.0399801,0.0223351,0.48001,0.511168
24.9619,26.5721,1.75379,0.506329,0.517018,-0.0269771,0.0357887,0.486511,0.517894
25.4129,26.9642,2.33892,0.537724,0.548417,-0.0337647,0.0252178,0.483118,0.512609
25.171,26.3407,58.8939,0.536924,0.544995,-0.0436852,0.000754574,0.478157,0.500377
25.2862,26.2203,-18.6163,0.535525,0.541953,-0.0374674,-0.00191001,0.481266,0.499045
25.212,26.605,8.30365,0.542273,0.551946,-0.0463438,0.00634529,0.476828,0.503173
25.1361,25.9762,-3.6606,0.531667,0.537427,-0.0408149,-0.00875743,0.479593,0.495621
24.7348,25.3554,-1.4719,0.510212,0.514363,-0.0404329,-0.016357,0.479784,0.491822
24.8313,25.8008,81.3892,0.511379,0.517868,-0.0371336,0.000461923,0.481433,0.500231
