Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
14.5272,14.3587,0.59043,-0.0492591,-0.0490696,-0.0079817,-0.019488,0.496009,0.490256
14.9355,15.4297,1.24206,-0.0295964,-0.0299214,-0.00640738,0.0264704,0.496796,0.513235
14.9855,15.2255,2.46872,-0.0246708,-0.0248017,-0.0094364,0.00642493,0.495282,0.503212
14.5872,16.3205,2.85384,0.00489311,0.00507743,-0.0716567,0.0386532,0.464172,0.519327
15.1966,16.36,3.56108,0.0209377,0.0214531,-0.0521834,0.0203755,0.473908,0.510188
15.4395,15.3035,0.37716,0.0025071,0.00249981,-0.0143388,-0.0230217,0.492831,0.488489
15.8755,16.449,1.44395,0.0221684,0.0224334,-0.0109861,0.0247466,0.494507,0.512373
15.9934,16.4083,2.31499,0.0311216,0.0313881,-0.0145231,0.0110443,0.492738,0.505522
15.8417,16.4867,4.98698,0.0374052,0.0379021,-0.0315265,0.00790736,0.484237,0.503954
14.482,16.4714,34.8495,0.0391011,0.0407453,-0.117723,0.00347782,0.441139,0.501739
15.6075,16.5256,16.4669,0.0427631,0.0435718,-0.052359,0.00338522,0.473821,0.501693
13.9931,15.3518,-2.47372,0.0139925,0.0144076,-0.119986,-0.034541,0.440007,0.482729
14.8505,15.9513,43.7238,0.0154959,0.0158611,-0.0675399,0.00158085,0.46623,0.50079
13.9224,15.1732,-3.3631,-0.00341391,-0.00350877,-0.104384,-0.0239242,0.447808,0.488038
15.4654,15.8775,2.46615,0.00485009,0.00489272,-0.0155972,0.0106382,0.492201,0.505319
15.7936,16.1769,1.6317,0.0166103,0.0167438,-0.00930919,0.0147368,0.495345,0.507368
16.3013,17.1796,1.39323,0.047326,0.0481674,-0.0149787,0.0380914,0.492511,0.519046
16.0528,16.173,-0.642552,0.0376973,0.0377902,-0.0187773,-0.0114318,0.490611,0.494284
15.8204,15.8065,0.0505539,0.0236027,0.0235959,-0.0162003,-0.0170629,0.4919,0.491469
16.1865,16.7087,1.64795,0.0393879,0.039808,-0.0125273,0.0193336,0.493736,0.509667
15.9912,16.1545,-1.3813,0.0332988,0.0334108,-0.0172977,-0.00726395,0.491351,0.496368
15.8274,16.0986,-3.12236,0.0288348,0.0289971,-0.0221203,-0.00536592,0.48894,0.497317
14.793,15.4814,-1.97783,0.010698,0.0108565,-0.0654759,-0.0219878,0.467262,0.489006
15.8245,16.4278,1.99842,0.0258588,0.0261834,-0.0186916,0.0187212,0.490654,0.509361
15.7391,15.7759,-0.211151,0.0169888,0.017002,-0.0132155,-0.0109115,0.493392,0.494544
15.5847,16.3439,3.83015,0.0267156,0.0271392,-0.0347433,0.0122761,0.482628,0.506138
15.7053,15.94,-2.28909,0.021624,0.0217302,-0.0210219,-0.00639142,0.489489,0.496804
16.1832,17.6444,1.78194,0.0607868,0.0625691,-0.0381104,0.0487383,0.480945,0.524369
16.296,18.3332,2.64362,0.096754,0.100587,-0.0721191,0.0438782,0.46394,0.521939
17.1145,17.4438,-5.54879,0.095398,0.0960006,-0.0221992,-0.00338981,0.4889,0.498305
16.7453,16.9858,-0.936351,0.0820505,0.0824355,-0.0288328,-0.0148903,0.485584,0.492555
16.6366,17.7811,4.21712,0.094842,0.0969433,-0.0498625,0.0154991,0.475069,0.50775
17.2034,17.5203,59.8597,0.0961413,0.0967245,-0.0177893,0.000302232,0.491105,0.500151
17.3277,17.9624,2.81986,0.107196,0.108485,-0.0230937,0.0126898,0.488453,0.506345
17.8378,18.7189,1.77132,0.131739,0.133877,-0.0210563,0.0272991,0.489472,0.51365
17.8336,18.3195,9.89904,0.134081,0.135279,-0.0239063,0.00268639,0.488047,0.501343
17.9167,18.4854,5.27559,0.139439,0.140889,-0.025078,0.00586538,0.487461,0.502933
17.8097,18.1692,-3.45879,0.134152,0.135039,-0.025358,-0.0056872,0.487321,0.497156
18.0586,18.7739,2.83713,0.146719,0.148624,-0.025006,0.0136114,0.487497,0.506806
18.1576,19.5273,2.68876,0.170588,0.174746,-0.0452347,0.0267858,0.477383,0.513393
18.3568,19.0047,-97.9766,0.17088,0.172844,-0.034427,-0.00034783,0.482786,0.499826
15.8457,16.7516,-0.827996,0.109303,0.111224,-0.112071,-0.0613083,0.443964,0.469346
16.6907,18.4784,5.60302,0.126013,0.130263,-0.0808747,0.0175699,0.459563,0.508785
16.5375,20.5455,3.25881,0.17932,0.192348,-0.143829,0.0636748,0.428086,0.531837
18.1547,18.7508,-2.12718,0.171203,0.173018,-0.0460511,-0.0147261,0.476974,0.492637
17.876,18.3962,-1.65274,0.155237,0.156698,-0.044627,-0.016823,0.477687,0.491588
15.3592,16.2397,-0.738843,0.0888058,0.0903629,-0.11889,-0.0683731,0.440555,0.465813
15.9073,18.2995,5.44679,0.110122,0.115224,-0.109347,0.0245902,0.445326,0.512295
17.6316,18.2567,3.13656,0.123341,0.124776,-0.0235812,0.011037,0.488209,0.505518
16.9511,16.8506,0.169407,0.092205,0.0920263,-0.0282362,-0.0339952,0.485882,0.483002
17.3954,18.3548,2.07927,0.114896,0.116969,-0.0278311,0.0257869,0.486084,0.512893
17.4063,17.8352,-14.7614,0.113513,0.114429,-0.0256371,-0.00162658,0.487181,0.499187
17.2486,17.5954,-2.58896,0.106648,0.10735,-0.0271109,-0.00755396,0.486445,0.496223
15.9751,15.7704,0.215299,0.0554793,0.0552494,-0.0446192,-0.0568614,0.47769,0.471569
15.3805,16.3554,-5.3605,0.0458629,0.0467857,-0.0699508,-0.0109977,0.465025,0.494501
16.6081,17.2838,1.79059,0.0653553,0.0662311,-0.0176459,0.02232,0.491177,0.51116
16.0546,15.9262,0.265954,0.0401374,0.0400319,-0.0215981,-0.0294233,0.489201,0.485288
15.4965,15.3344,0.306912,0.0125241,0.0124811,-0.0230787,-0.0332984,0.488461,0.483351
13.6843,15.1174,-3.89351,-0.00631539,-0.00651807,-0.116318,-0.0237698,0.441841,0.488115
15.4461,16.8396,2.01608,0.0267722,0.0275536,-0.0434904,0.0428023,0.478255,0.521401
15.9109,16.1907,13.1999,0.0280893,0.0282522,-0.0159906,0.00131072,0.492005,0.500655
15.9394,17.6161,2.26956,0.0630707,0.0651987,-0.0555731,0.0437735,0.472213,0.521887
16.9895,18.2098,1.79756,0.0965199,0.0987828,-0.0308847,0.0387239,0.484558,0.519362
16.9461,17.152,-1.09265,0.0871633,0.0875109,-0.0227411,-0.0108671,0.488629,0.494566
17.5456,18.4777,1.6134,0.115541,0.117559,-0.0197962,0.0322729,0.490102,0.516136
17.111,17.1021,0.0225177,0.0950698,0.0950536,-0.0220349,-0.0225425,0.488983,0.488729
15.9747,16.0892,-0.166173,0.0582675,0.0584022,-0.0478813,-0.0410585,0.476059,0.479471
17.0142,18.7541,1.71336,0.106623,0.110157,-0.0408371,0.0572464,0.479581,0.528623
16.7439,18.3174,5.39373,0.119797,0.123367,-0.0711094,0.0161843,0.464445,0.508092
17.8719,18.6206,2.49667,0.136594,0.13847,-0.0244962,0.0163671,0.487752,0.508184
17.9599,19.8544,2.42174,0.172538,0.178364,-0.0583153,0.0410167,0.470842,0.520508
15.3057,17.1643,-2.00127,0.119658,0.123977,-0.154061,-0.0513319,0.42297,0.474334
15.7532,17.633,-8.22489,0.109854,0.113866,-0.118043,-0.0127961,0.440979,0.493602
16.1618,17.0146,-2.03851,0.0902923,0.0918014,-0.072919,-0.0239983,0.463541,0.488001
16.621,18.7646,3.16138,0.122402,0.127371,-0.0810292,0.0374896,0.459485,0.518745
17.369,17.7651,-2.47625,0.11637,0.117236,-0.031022,-0.00892399,0.484489,0.495538
17.6041,18.2867,3.75633,0.125572,0.127165,-0.027667,0.0100376,0.486167,0.505019
17.618,18.1978,12.4888,0.127838,0.129212,-0.0293835,0.00255757,0.485308,0.501279
17.8713,18.5799,3.28794,0.13869,0.14049,-0.0268483,0.0117347,0.486576,0.505867
17.8825,18.2586,-7.12793,0.136174,0.137113,-0.0234211,-0.00288156,0.488289,0.498559
18.0128,18.9816,2.86562,0.152408,0.155078,-0.0338321,0.0181345,0.483084,0.509067
17.9591,18.6039,-32.529,0.151317,0.153084,-0.035688,-0.00106439,0.482156,0.499468
18.0607,18.5021,-7.27763,0.148686,0.149876,-0.0270499,-0.00326783,0.486475,0.498366
18.2929,19.5927,2.49051,0.173501,0.177497,-0.0407924,0.0273681,0.479604,0.513684
18.9854,20.1792,2.12403,0.201513,0.205645,-0.0322042,0.0286507,0.483898,0.514325
19.3589,20.9352,2.3537,0.233163,0.2393,-0.0447338,0.0330456,0.477633,0.516523
19.5245,20.1571,-11.6944,0.23128,0.233721,-0.0339775,-0.00267657,0.483011,0.498662
19.6807,20.6716,4.28089,0.242537,0.246505,-0.0371534,0.0113242,0.481423,0.505662
19.5625,20.1684,-4.47681,0.235737,0.238111,-0.036512,-0.00666665,0.481744,0.496667
20.0598,21.0703,2.61248,0.255372,0.259573,-0.0301545,0.0187007,0.484923,0.50935
20.3198,21.2456,3.27231,0.269392,0.273399,-0.0306676,0.0134962,0.484666,0.506748
20.1357,20.8227,-9.83045,0.265363,0.268307,-0.0362267,-0.00334489,0.481887,0.498328
19.7583,20.4504,-3.1472,0.25351,0.256381,-0.0441192,-0.0106383,0.47794,0.494681
20.7511,22.0719,1.85429,0.289597,0.295623,-0.0284874,0.0333461,0.485756,0.516673
21.5492,23.103,1.74811,0.332514,0.340345,-0.0299336,0.0400124,0.485033,0.520006
21.2849,22.201,-138.524,0.330883,0.335496,-0.0415476,-0.000297782,0.479226,0.499851
21.1339,21.9254,-5.62759,0.323705,0.327631,-0.0422465,-0.00637434,0.478877,0.496813
19.0566,20.876,-3.10062,0.286503,0.294913,-0.11211,-0.0273398,0.443945,0.48633
21.454,22.8116,1.98275,0.328063,0.334841,-0.03041,0.0309437,0.484795,0.515472
21.1792,22.0555,-24.5738,0.32507,0.329428,-0.0412842,-0.00161432,0.479358,0.499193
21.7008,22.7845,3.10221,0.343325,0.348914,-0.0327328,0.0155707,0.483634,0.507785
21.8866,23.2818,3.26571,0.363255,0.370752,-0.0423536,0.0186933,0.478823,0.509347
22.2241,23.0535,8.32183,0.369547,0.374046,-0.031788,0.00434154,0.484106,0.502171
21.2125,22.1461,-2.3325,0.34581,0.350679,-0.0591592,-0.0177522,0.47042,0.491124
21.0808,23.6009,4.72535,0.368407,0.38222,-0.086128,0.0231194,0.456936,0.51156
22.0894,26.2955,2.52348,0.442978,0.469092,-0.103103,0.0676761,0.448449,0.533838
23.195,24.5679,-45.1749,0.448502,0.457008,-0.0570496,-0.00123551,0.471475,0.499382
23.3902,23.7718,-0.931435,0.431229,0.433523,-0.032722,-0.0169418,0.483639,0.491529
23.3747,24.6922,5.13291,0.442415,0.450483,-0.0434137,0.0105044,0.478293,0.505252
23.505,24.5388,19.9938,0.445501,0.451855,-0.0401065,0.00211156,0.479947,0.501056
24.0259,24.9951,3.7963,0.459931,0.465995,-0.0288559,0.0103193,0.485572,0.50516
24.2448,25.5265,3.23313,0.478574,0.486807,-0.0352286,0.0157754,0.482386,0.507888
23.6146,24.4703,-2.61129,0.459926,0.465301,-0.0477196,-0.013214,0.47614,0.493393
23.9591,24.9119,16.7101,0.464606,0.470615,-0.0360398,0.00229405,0.48198,0.501147
23.7719,24.4097,-2.87863,0.453539,0.4575,-0.0348906,-0.00899561,0.482555,0.495502
24.6749,26.1381,1.9137,0.49209,0.501636,-0.0275316,0.0301321,0.486234,0.515066
23.7996,23.9417,-0.201355,0.454416,0.455299,-0.0343888,-0.028625,0.482806,0.485687
20.1643,21.8649,-1.26015,0.369829,0.379273,-0.131387,-0.0581321,0.434306,0.470934
20.0025,20.6189,-0.489474,0.309656,0.31265,-0.0857335,-0.0575596,0.457133,0.47122
17.8674,18.914,-0.732898,0.230839,0.234966,-0.12166,-0.0702063,0.43917,0.464897
20.1397,24.8544,1.99017,0.337508,0.361948,-0.104323,0.105359,0.447838,0.552679
19.9972,21.4783,-2.97509,0.314031,0.321304,-0.0900456,-0.0226525,0.454977,0.488674
19.9417,21.4997,-6.57805,0.302984,0.310428,-0.0825734,-0.0108964,0.458713,0.494552
20.4281,22.2931,6.6603,0.317816,0.327012,-0.072003,0.0127207,0.463999,0.50636
20.6721,21.3722,-2.20121,0.304365,0.307692,-0.0469438,-0.0146644,0.476528,0.492668
20.5409,23.0062,3.69263,0.333017,0.345606,-0.0804751,0.0298872,0.459762,0.514944
21.251,22.2355,-19.1242,0.334309,0.339309,-0.0464823,-0.00230977,0.476759,0.498845
21.8327,23.1094,3.07709,0.355748,0.362505,-0.037976,0.0182833,0.481012,0.509142
21.5812,22.9599,10.3607,0.360365,0.367755,-0.0545684,0.00582952,0.472716,0.502915
21.6951,23.4314,5.70625,0.374434,0.384001,-0.0619168,0.0131563,0.469042,0.506578
22.9349,24.5807,2.23038,0.413433,0.423068,-0.0380776,0.0309479,0.480961,0.515474
23.696,24.9319,2.2447,0.441973,0.449512,-0.0281096,0.0225835,0.485945,0.511292
22.8783,23.8366,-3.5392,0.424868,0.430596,-0.0509857,-0.0112323,0.474507,0.494384
22.8397,23.2266,-0.886703,0.404843,0.407075,-0.0347895,-0.0184393,0.482605,0.49078
22.9641,23.915,7.52574,0.411183,0.416726,-0.0346611,0.00531144,0.482669,0.502656
23.8408,25.318,1.90208,0.449978,0.459093,-0.0285459,0.0316445,0.485727,0.515822
24.4537,25.733,2.12207,0.479916,0.488133,-0.0269175,0.0239892,0.486541,0.511995
24.9434,26.2943,2.2948,0.508473,0.517469,-0.029652,0.0229008,0.485174,0.51145
24.6733,25.6818,-84.7334,0.506153,0.512864,-0.0397123,-0.000463207,0.480144,0.499768
23.8862,24.2154,-0.45201,0.468061,0.470149,-0.0423917,-0.0291952,0.478804,0.485402
23.9652,25.5612,5.13678,0.482067,0.4924,-0.0509034,0.0123051,0.474548,0.506153
