Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
14.8508,14.3587,1.72419,-0.0496228,-0.0490696,0.0141129,-0.019488,0.507056,0.490256
15.3,15.4297,0.326035,-0.0298361,-0.0299214,0.0178401,0.0264704,0.50892,0.513235
15.3605,15.2255,-1.38915,-0.0248753,-0.0248017,0.0153501,0.00642493,0.507675,0.503212
14.7106,16.3205,2.65053,0.00490624,0.00507743,-0.0637982,0.0386532,0.468101,0.519327
15.4336,16.36,2.83582,0.0210427,0.0214531,-0.0374057,0.0203755,0.481297,0.510188
15.829,15.3035,1.45723,0.00252798,0.00249981,0.0105262,-0.0230217,0.505263,0.488489
16.2673,16.449,0.45755,0.0223495,0.0224334,0.0134238,0.0247466,0.506712,0.512373
16.3926,16.4083,0.0877275,0.031378,0.0313881,0.0100754,0.0110443,0.505038,0.505522
16.1794,16.4867,2.37638,0.0376653,0.0379021,-0.0108836,0.00790736,0.494558,0.503954
14.5034,16.4714,34.4733,0.0391189,0.0407453,-0.116414,0.00347782,0.441793,0.501739
15.9059,16.5256,11.1137,0.043026,0.0435718,-0.0342371,0.00338522,0.482881,0.501693
14.0207,15.3518,-2.42339,0.0140009,0.0144076,-0.118247,-0.034541,0.440876,0.482729
15.0249,15.9513,36.7931,0.0155538,0.0158611,-0.0565835,0.00158085,0.471708,0.50079
13.9763,15.1732,-3.21826,-0.003418,-0.00350877,-0.100919,-0.0239242,0.449541,0.488038
15.8125,15.8775,0.389142,0.00488599,0.00489272,0.00649843,0.0106382,0.503249,0.505319
16.2053,16.1769,-0.120651,0.0167537,0.0167438,0.0165148,0.0147368,0.508257,0.507368
16.7237,17.1796,0.723105,0.0477307,0.0481674,0.0105473,0.0380914,0.505274,0.519046
16.4652,16.173,1.56231,0.038016,0.0377902,0.00642823,-0.0114318,0.503214,0.494284
16.2342,15.8065,1.5588,0.0238063,0.0235959,0.00953472,-0.0170629,0.504767,0.491469
16.6081,16.7087,0.317599,0.039727,0.039808,0.0131933,0.0193336,0.506597,0.509667
16.4399,16.1545,2.41442,0.0336066,0.0334108,0.0102742,-0.00726395,0.505137,0.496368
16.2247,16.0986,1.45201,0.0290725,0.0289971,0.00242547,-0.00536592,0.501213,0.497317
15.0201,15.4814,-1.32562,0.0107502,0.0108565,-0.0511353,-0.0219878,0.474432,0.489006
16.1987,16.4278,0.758935,0.0260601,0.0261834,0.00451302,0.0187212,0.502257,0.509361
16.154,15.7759,2.17274,0.0171368,0.017002,0.0127964,-0.0109115,0.506398,0.494544
15.9048,16.3439,2.2153,0.0268942,0.0271392,-0.0149191,0.0122761,0.49254,0.506138
16.0718,15.94,1.28594,0.0217899,0.0217302,0.00182755,-0.00639142,0.500914,0.496804
16.5135,17.6444,1.37917,0.0611896,0.0625691,-0.0184802,0.0487383,0.49076,0.524369
16.5505,18.3332,2.31339,0.0972328,0.100587,-0.0576292,0.0438782,0.471185,0.521939
17.6255,17.4438,3.06259,0.0963331,0.0960006,0.0069918,-0.00338981,0.503496,0.498305
17.2094,16.9858,0.871031,0.0827937,0.0824355,-0.00192039,-0.0148903,0.49904,0.492555
16.9868,17.7811,2.92691,0.0954849,0.0969433,-0.0298654,0.0154991,0.485067,0.50775
17.7221,17.5203,-38.1153,0.0970959,0.0967245,0.0118219,0.000302232,0.505911,0.500151
17.8672,17.9624,0.423016,0.108292,0.108485,0.00732182,0.0126898,0.503661,0.506345
18.3809,18.7189,0.679471,0.133057,0.133877,0.00875014,0.0272991,0.504375,0.51365
18.3893,18.3195,-1.42166,0.135452,0.135279,0.00650552,0.00268639,0.503253,0.501343
18.5007,18.4854,-0.141597,0.140928,0.140889,0.0066959,0.00586538,0.503348,0.502933
18.3872,18.1692,2.09782,0.135577,0.135039,0.00624355,-0.0056872,0.503122,0.497156
18.657,18.7739,0.463862,0.148313,0.148624,0.00729759,0.0136114,0.503649,0.506806
18.6696,19.5273,1.68373,0.172143,0.174746,-0.0183142,0.0267858,0.490843,0.513393
18.9341,19.0047,-10.6686,0.17263,0.172844,-0.00405871,-0.00034783,0.497971,0.499826
16.0063,16.7516,-0.68126,0.109643,0.111224,-0.103075,-0.0613083,0.448462,0.469346
16.986,18.4784,4.67731,0.126715,0.130263,-0.06461,0.0175699,0.467695,0.508785
16.5822,20.5455,3.22246,0.179466,0.192348,-0.141515,0.0636748,0.429243,0.531837
18.7025,18.7508,-0.172679,0.172871,0.173018,-0.017269,-0.0147261,0.491366,0.492637
18.4181,18.3962,0.0694828,0.156759,0.156698,-0.0156541,-0.016823,0.492173,0.491588
15.5406,16.2397,-0.58663,0.0891266,0.0903629,-0.108483,-0.0683731,0.445759,0.465813
16.0506,18.2995,5.12064,0.110428,0.115224,-0.101327,0.0245902,0.449336,0.512295
18.1845,18.2567,0.362096,0.12461,0.124776,0.00704055,0.011037,0.50352,0.505518
17.4866,16.8506,1.07248,0.0931575,0.0920263,0.00246412,-0.0339952,0.501232,0.483002
