Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
14.7884,14.3587,1.50579,-0.0495528,-0.0490696,0.00985688,-0.019488,0.504928,0.490256
15.2312,15.4297,0.498816,-0.0297909,-0.0299214,0.0132665,0.0264704,0.506633,0.513235
15.2913,15.2255,-0.676702,-0.0248375,-0.0248017,0.0107727,0.00642493,0.505386,0.503212
14.6533,16.3205,2.74496,0.00490014,0.00507743,-0.0674482,0.0386532,0.466276,0.519327
15.3713,16.36,3.02652,0.0210151,0.0214531,-0.0412913,0.0203755,0.479354,0.510188
15.761,15.3035,1.26876,0.00252434,0.00249981,0.00618737,-0.0230217,0.503094,0.488489
16.198,16.449,0.632011,0.0223174,0.0224334,0.00910648,0.0247466,0.504553,0.512373
16.3228,16.4083,0.47702,0.0313332,0.0313881,0.00577594,0.0110443,0.502888,0.505522
16.1123,16.4867,2.89493,0.0376136,0.0379021,-0.0149839,0.00790736,0.492508,0.503954
14.4482,16.4714,35.4411,0.0390732,0.0407453,-0.11978,0.00347782,0.44011,0.501739
15.8401,16.5256,12.2936,0.042968,0.0435718,-0.0382313,0.00338522,0.480884,0.501693
13.9669,15.3518,-2.52147,0.0139844,0.0144076,-0.121635,-0.034541,0.439182,0.482729
14.9653,15.9513,39.1639,0.015534,0.0158611,-0.0603314,0.00158085,0.469834,0.50079
13.9223,15.1732,-3.36345,-0.0034139,-0.00350877,-0.104392,-0.0239242,0.447804,0.488038
15.7465,15.8775,0.783855,0.00487917,0.00489272,0.00229939,0.0106382,0.50115,0.505319
16.1348,16.1769,0.179384,0.0167291,0.0167438,0.0120932,0.0147368,0.506047,0.507368
16.652,17.1796,0.836864,0.047662,0.0481674,0.00621407,0.0380914,0.503107,0.519046
16.3947,16.173,1.18554,0.0379616,0.0377902,0.00212108,-0.0114318,0.501061,0.494284
16.1642,15.8065,1.3035,0.0237718,0.0235959,0.00517853,-0.0170629,0.502589,0.491469
16.5364,16.7087,0.543712,0.0396694,0.039808,0.00882169,0.0193336,0.504411,0.509667
16.3636,16.1545,1.76909,0.0335543,0.0334108,0.00558665,-0.00726395,0.502793,0.496368
16.1554,16.0986,0.654411,0.0290311,0.0289971,-0.0018544,-0.00536592,0.499073,0.497317
14.9588,15.4814,-1.50151,0.0107361,0.0108565,-0.0550028,-0.0219878,0.472499,0.489006
16.1305,16.4278,0.984863,0.0260234,0.0261834,0.000283385,0.0187212,0.500142,0.509361
16.0837,15.7759,1.7687,0.0171117,0.017002,0.0083877,-0.0109115,0.504194,0.494544
15.8391,16.3439,2.54704,0.0268575,0.0271392,-0.0189916,0.0122761,0.490504,0.506138
16.0043,15.94,0.627019,0.0217593,0.0217302,-0.00238388,-0.00639142,0.498808,0.496804
16.4453,17.6444,1.46237,0.0611064,0.0625691,-0.0225349,0.0487383,0.488733,0.524369
16.4833,18.3332,2.40063,0.0971063,0.100587,-0.0614572,0.0438782,0.469271,0.521939
17.5472,17.4438,1.74295,0.0961898,0.0960006,0.00251847,-0.00338981,0.501259,0.498305
17.1347,16.9858,0.580208,0.0826741,0.0824355,-0.00625083,-0.0148903,0.496875,0.492555
16.9161,17.7811,3.18738,0.0953551,0.0969433,-0.0339024,0.0154991,0.483049,0.50775
17.6427,17.5203,-23.1177,0.0969498,0.0967245,0.00728915,0.000302232,0.503645,0.500151
17.784,17.9624,0.792646,0.108123,0.108485,0.00263129,0.0126898,0.501316,0.506345
18.2997,18.7189,0.842892,0.132859,0.133877,0.00428891,0.0272991,0.502144,0.51365
18.3077,18.3195,0.239334,0.13525,0.135279,0.00204345,0.00268639,0.501022,0.501343
18.4137,18.4854,0.664722,0.140706,0.140889,0.00196653,0.00586538,0.500983,0.502933
18.3019,18.1692,1.27719,0.135367,0.135039,0.00157641,-0.0056872,0.500788,0.497156
18.5696,18.7739,0.810509,0.14808,0.148624,0.00257924,0.0136114,0.50129,0.506806
18.5888,19.5273,1.8424,0.171897,0.174746,-0.0225644,0.0267858,0.488718,0.513393
18.8504,19.0047,-23.3262,0.172377,0.172844,-0.00846139,-0.00034783,0.495769,0.499826
15.9422,16.7516,-0.739794,0.109508,0.111224,-0.106664,-0.0613083,0.446668,0.469346
16.9159,18.4784,4.89715,0.126549,0.130263,-0.0684726,0.0175699,0.465764,0.508785
16.5183,20.5455,3.27435,0.179258,0.192348,-0.144819,0.0636748,0.427591,0.531837
18.6204,18.7508,-0.465451,0.172621,0.173018,-0.0215804,-0.0147261,0.48921,0.492637
18.3369,18.3962,-0.188468,0.156531,0.156698,-0.0199936,-0.016823,0.490003,0.491588
15.4772,16.2397,-0.63983,0.0890145,0.0903629,-0.11212,-0.0683731,0.44394,0.465813
15.9868,18.2995,5.26593,0.110291,0.115224,-0.1049,0.0245902,0.44755,0.512295
18.1026,18.2567,0.772963,0.124422,0.124776,0.00250581,0.011037,0.501253,0.505518
17.4039,16.8506,0.933008,0.0930104,0.0920263,-0.0022774,-0.0339952,0.498861,0.483002
17.8265,18.3548,1.14501,0.115828,0.116969,-0.00373929,0.0257869,0.49813,0.512893
17.8447,17.8352,0.327006,0.114449,0.114429,-0.00109468,-0.00162658,0.499453,0.499187
17.7139,17.5954,0.88529,0.10759,0.10735,-0.000866518,-0.00755396,0.499567,0.496223
16.2953,15.7704,0.552011,0.0558387,0.0552494,-0.0254733,-0.0568614,0.487263,0.471569
15.5329,16.3554,-4.52279,0.0460071,0.0467857,-0.060738,-0.0109977,0.469631,0.494501
17.0163,17.2838,0.708713,0.0658845,0.0662311,0.00650152,0.02232,0.503251,0.51116
16.4474,15.9262,1.07963,0.04046,0.0400319,0.00234303,-0.0294233,0.501172,0.485288
15.8028,15.3344,0.886692,0.0126053,0.0124811,-0.00377298,-0.0332984,0.498114,0.483351
13.6159,15.1174,-4.07913,-0.00630573,-0.00651807,-0.12073,-0.0237698,0.439635,0.488115
15.6742,16.8396,1.68601,0.0269001,0.0275536,-0.029363,0.0428023,0.485319,0.521401
16.2736,16.1907,-3.90961,0.0283004,0.0282522,0.00643513,0.00131072,0.503218,0.500655
16.1434,17.6161,1.99345,0.0633296,0.0651987,-0.0434868,0.0437735,0.478257,0.521887
17.3588,18.2098,1.25347,0.0972049,0.0987828,-0.00981545,0.0387239,0.495092,0.519362
17.3752,17.152,1.18492,0.0878879,0.0875109,0.00200958,-0.0108671,0.501005,0.494566
17.9744,18.4777,0.87113,0.116469,0.117559,0.004159,0.0322729,0.502079,0.516136
17.56,17.1021,1.16087,0.095889,0.0950536,0.00362646,-0.0225425,0.501813,0.488729
