Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
13.3858,14.3587,-3.409,-0.0479759,-0.0490696,-0.0859225,-0.019488,0.457039,0.490256
13.3191,15.4297,5.30425,-0.0285333,-0.0299214,-0.113935,0.0264704,0.443032,0.513235
13.3692,15.2255,19.0986,-0.0237894,-0.0248017,-0.116282,0.00642493,0.441859,0.503212
14.9582,16.3205,2.24291,0.00493257,0.00507743,-0.0480423,0.0386532,0.475979,0.519327
14.9649,16.36,4.27043,0.0208351,0.0214531,-0.0666367,0.0203755,0.466682,0.510188
14.0555,15.3035,-3.46071,0.00243291,0.00249981,-0.102693,-0.0230217,0.448653,0.488489
14.4119,16.449,5.12845,0.0214922,0.0224334,-0.102165,0.0247466,0.448917,0.512373
14.5659,16.4083,10.2793,0.0302047,0.0313881,-0.102484,0.0110443,0.448758,0.505522
14.9602,16.4867,11.802,0.0367261,0.0379021,-0.0854155,0.00790736,0.457292,0.503954
15.6055,16.4714,15.168,0.0400297,0.0407453,-0.0492738,0.00347782,0.475363,0.501739
15.1828,16.5256,24.0834,0.042389,0.0435718,-0.0781423,0.00338522,0.460929,0.501693
15.1551,15.3518,-0.358114,0.0143475,0.0144076,-0.0469106,-0.034541,0.476545,0.482729
15.011,15.9513,37.3486,0.0155492,0.0158611,-0.0574618,0.00158085,0.471269,0.50079
14.8688,15.1732,-0.818491,-0.00348569,-0.00350877,-0.043506,-0.0239242,0.478247,0.488038
14.3167,15.8775,9.33889,0.00473127,0.00489272,-0.0887107,0.0106382,0.455645,0.505319
14.1535,16.1769,8.61274,0.0160389,0.0167438,-0.112187,0.0147368,0.443906,0.507368
14.7557,17.1796,3.84511,0.0458453,0.0481674,-0.108374,0.0380914,0.445813,0.519046
14.6398,16.173,-8.19778,0.0366052,0.0377902,-0.105147,-0.0114318,0.447426,0.494284
14.3411,15.8065,-5.34075,0.022875,0.0235959,-0.108192,-0.0170629,0.445904,0.491469
14.58,16.7087,6.71703,0.0380958,0.039808,-0.110531,0.0193336,0.444735,0.509667
13.9566,16.1545,-18.5943,0.0319029,0.0334108,-0.142332,-0.00726395,0.428834,0.496368
14.5497,16.0986,-17.8332,0.0280705,0.0289971,-0.101057,-0.00536592,0.449471,0.497317
14.7892,15.4814,-1.98878,0.0106971,0.0108565,-0.0657167,-0.0219878,0.467142,0.489006
14.5973,16.4278,6.06323,0.0251988,0.0261834,-0.0947897,0.0187212,0.452605,0.509361
14.1702,15.7759,-9.22579,0.0164294,0.017002,-0.111579,-0.0109115,0.444211,0.494544
14.822,16.3439,7.67853,0.02629,0.0271392,-0.0819863,0.0122761,0.459007,0.506138
14.5541,15.94,-13.5164,0.0211031,0.0217302,-0.0927807,-0.00639142,0.45361,0.496804
15.4129,17.6444,2.72132,0.0598471,0.0625691,-0.0838941,0.0487383,0.458053,0.524369
16.2245,18.3332,2.73644,0.0966194,0.100587,-0.0761917,0.0438782,0.461904,0.521939
15.2096,17.4438,-37.6555,0.0919113,0.0960006,-0.131035,-0.00338981,0.434483,0.498305
15.2703,16.9858,-6.68165,0.079688,0.0824355,-0.114382,-0.0148903,0.442809,0.492555
15.9429,17.7811,6.77336,0.0935683,0.0969433,-0.0894819,0.0154991,0.455259,0.50775
15.0991,17.5203,457.375,0.0922681,0.0967245,-0.137931,0.000302232,0.431034,0.500151
14.9496,17.9624,13.3854,0.102368,0.108485,-0.157168,0.0126898,0.421416,0.506345
15.7692,18.7189,5.92998,0.126718,0.133877,-0.134584,0.0272991,0.432708,0.51365
15.7878,18.3195,51.5808,0.129037,0.135279,-0.13588,0.00268639,0.43206,0.501343
15.2993,18.4854,29.5574,0.132763,0.140889,-0.1675,0.00586538,0.41625,0.502933
15.3711,18.1692,-26.9247,0.128134,0.135039,-0.158814,-0.0056872,0.420593,0.497156
15.4175,18.7739,13.3132,0.139687,0.148624,-0.1676,0.0136114,0.4162,0.506806
16.7845,19.5273,5.38428,0.16642,0.174746,-0.117436,0.0267858,0.441282,0.513393
16.4832,19.0047,-381.314,0.165202,0.172844,-0.13298,-0.00034783,0.43351,0.499826
16.5127,16.7516,-0.218351,0.110718,0.111224,-0.074695,-0.0613083,0.462652,0.469346
16.6106,18.4784,5.854,0.125823,0.130263,-0.0852844,0.0175699,0.457358,0.508785
17.8221,20.5455,2.21431,0.183496,0.192348,-0.0773207,0.0636748,0.46134,0.531837
16.661,18.7508,-7.45705,0.166654,0.173018,-0.124539,-0.0147261,0.43773,0.492637
16.3757,18.3962,-6.41879,0.151026,0.156698,-0.124806,-0.016823,0.437597,0.491588
16.0968,16.2397,-0.119944,0.0901101,0.0903629,-0.076574,-0.0683731,0.461713,0.465813
16.641,18.2995,3.77617,0.111687,0.115224,-0.0682665,0.0245902,0.465867,0.512295
15.4963,18.2567,13.8507,0.118441,0.124776,-0.141833,0.011037,0.429083,0.505518
14.6164,16.8506,-3.76763,0.0880523,0.0920263,-0.162077,-0.0339952,0.418962,0.483002
