Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
11.9068,14.3587,-8.59169,-0.0463131,-0.0490696,-0.186923,-0.019488,0.406539,0.490256
11.8406,15.4297,9.02013,-0.0275609,-0.0299214,-0.212296,0.0264704,0.393852,0.513235
11.8665,15.2255,34.5585,-0.02297,-0.0248017,-0.215611,0.00642493,0.392194,0.503212
13.3812,16.3205,4.83936,0.00476487,0.00507743,-0.148404,0.0386532,0.425798,0.519327
13.3246,16.36,9.2913,0.0201085,0.0214531,-0.168939,0.0203755,0.41553,0.510188
12.4322,15.3035,-7.96226,0.00234589,0.00249981,-0.206326,-0.0230217,0.396837,0.488489
12.7488,16.449,9.31522,0.0207237,0.0224334,-0.205773,0.0247466,0.397113,0.512373
12.8759,16.4083,19.7077,0.0291192,0.0313881,-0.206614,0.0110443,0.396693,0.505522
13.2633,16.4867,24.9216,0.0354189,0.0379021,-0.189156,0.00790736,0.405422,0.503954
13.9299,16.4714,44.5203,0.0386449,0.0407453,-0.151356,0.00347782,0.424322,0.501739
13.4759,16.5256,54.6979,0.0408855,0.0435718,-0.181779,0.00338522,0.40911,0.501693
13.5389,15.3518,-3.3007,0.0138537,0.0144076,-0.14855,-0.034541,0.425725,0.482729
13.3927,15.9513,101.624,0.0150122,0.0158611,-0.159072,0.00158085,0.420464,0.50079
13.3046,15.1732,-5.0245,-0.00336705,-0.00350877,-0.144131,-0.0239242,0.427934,0.488038
12.7015,15.8775,19.0032,0.00456418,0.00489272,-0.191522,0.0106382,0.404239,0.505319
12.5007,16.1769,15.6481,0.0154631,0.0167438,-0.215867,0.0147368,0.392067,0.507368
13.0212,17.1796,6.59662,0.0441836,0.0481674,-0.213183,0.0380914,0.393408,0.519046
12.9256,16.173,-17.3632,0.0352803,0.0377902,-0.209925,-0.0114318,0.395038,0.494284
12.6589,15.8065,-11.4714,0.0220476,0.0235959,-0.212797,-0.0170629,0.393601,0.491469
12.8673,16.7087,12.1213,0.0367183,0.039808,-0.215015,0.0193336,0.392493,0.509667
12.2802,16.1545,-32.7759,0.0307528,0.0334108,-0.245347,-0.00726395,0.377327,0.496368
12.8582,16.0986,-37.3102,0.0270585,0.0289971,-0.20557,-0.00536592,0.397215,0.497317
13.1673,15.4814,-6.64877,0.0103235,0.0108565,-0.16818,-0.0219878,0.41591,0.489006
