Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
12.1349,14.3587,-7.79232,-0.0465696,-0.0490696,-0.171345,-0.019488,0.414328,0.490256
12.0445,15.4297,8.50774,-0.027695,-0.0299214,-0.198733,0.0264704,0.400634,0.513235
12.0741,15.2255,32.4227,-0.0230832,-0.0248017,-0.201889,0.00642493,0.399056,0.503212
13.6552,16.3205,4.38828,0.004794,0.00507743,-0.130968,0.0386532,0.434516,0.519327
13.598,16.36,8.45445,0.0202296,0.0214531,-0.151888,0.0203755,0.424056,0.510188
12.6766,15.3035,-7.28447,0.00235899,0.00249981,-0.190722,-0.0230217,0.404639,0.488489
12.9998,16.449,8.68335,0.0208397,0.0224334,-0.190137,0.0247466,0.404932,0.512373
13.1325,16.4083,18.2766,0.029284,0.0313881,-0.190808,0.0110443,0.404596,0.505522
13.534,16.4867,22.8286,0.0356274,0.0379021,-0.172607,0.00790736,0.413697,0.503954
14.2247,16.4714,39.3557,0.0388885,0.0407453,-0.133394,0.00347782,0.433303,0.501739
13.7543,16.5256,49.7057,0.0411307,0.0435718,-0.16488,0.00338522,0.41756,0.501693
13.8242,15.3518,-2.78126,0.0139409,0.0144076,-0.130609,-0.034541,0.434696,0.482729
13.6685,15.9513,90.669,0.0151037,0.0158611,-0.141753,0.00158085,0.429123,0.50079
13.5811,15.1732,-4.28081,-0.00338803,-0.00350877,-0.126339,-0.0239242,0.43683,0.488038
12.9536,15.8775,17.4948,0.00459026,0.00489272,-0.175475,0.0106382,0.412262,0.505319
12.7427,16.1769,14.6177,0.0155474,0.0167438,-0.200681,0.0147368,0.399659,0.507368
13.2819,17.1796,6.18303,0.0444333,0.0481674,-0.197429,0.0380914,0.401286,0.519046
13.1857,16.173,-15.9727,0.0354813,0.0377902,-0.194029,-0.0114318,0.402986,0.494284
12.9109,15.8065,-10.553,0.0221715,0.0235959,-0.197128,-0.0170629,0.401436,0.491469
13.1219,16.7087,11.318,0.036923,0.039808,-0.199483,0.0193336,0.400258,0.509667
12.5039,16.1545,-30.8838,0.0309063,0.0334108,-0.231602,-0.00726395,0.384199,0.496368
13.1171,16.0986,-34.3293,0.0272134,0.0289971,-0.189574,-0.00536592,0.405213,0.497317
13.4387,15.4814,-5.8689,0.0103861,0.0108565,-0.151032,-0.0219878,0.424484,0.489006
13.1835,16.4278,10.7464,0.0244383,0.0261834,-0.182464,0.0187212,0.408768,0.509361
12.7544,15.7759,-17.3612,0.0159244,0.017002,-0.200348,-0.0109115,0.399826,0.494544
13.4198,16.3439,14.7528,0.0255075,0.0271392,-0.168831,0.0122761,0.415584,0.506138
13.1497,15.94,-27.2126,0.0204677,0.0217302,-0.180319,-0.00639142,0.409841,0.496804
13.9451,17.6444,4.51135,0.0580566,0.0625691,-0.171137,0.0487383,0.414431,0.524369
14.6955,18.3332,4.72052,0.0937425,0.100587,-0.16325,0.0438782,0.418375,0.521939
13.6072,17.4438,-64.6621,0.0889784,0.0960006,-0.222582,-0.00338981,0.388709,0.498305
13.7116,16.9858,-12.7526,0.0771916,0.0824355,-0.20478,-0.0148903,0.39761,0.492555
14.3964,17.7811,12.4721,0.0907288,0.0969433,-0.177807,0.0154991,0.411096,0.50775
13.4899,17.5203,761.375,0.0893061,0.0967245,-0.22981,0.000302232,0.385095,0.500151
13.3089,17.9624,20.6744,0.0990378,0.108485,-0.249665,0.0126898,0.375168,0.506345
14.0905,18.7189,9.30475,0.122644,0.133877,-0.226712,0.0272991,0.386644,0.51365
14.0995,18.3195,85.9788,0.124873,0.135279,-0.228286,0.00268639,0.385857,0.501343
13.58,18.4854,45.5079,0.128378,0.140889,-0.261056,0.00586538,0.369472,0.502933
13.6661,18.1692,-43.3308,0.123926,0.135039,-0.252118,-0.0056872,0.373941,0.497156
13.6798,18.7739,20.206,0.13506,0.148624,-0.261421,0.0136114,0.369289,0.506806
15.0496,19.5273,8.79005,0.161153,0.174746,-0.208663,0.0267858,0.395669,0.513393
14.7254,19.0047,-647.138,0.159874,0.172844,-0.225442,-0.00034783,0.387279,0.499826
14.9534,16.7516,-1.64353,0.107411,0.111224,-0.16207,-0.0613083,0.418965,0.469346
15.0081,18.4784,10.8767,0.122013,0.130263,-0.173533,0.0175699,0.413233,0.508785
16.126,20.5455,3.59332,0.177983,0.192348,-0.165129,0.0636748,0.417435,0.531837
14.9112,18.7508,-13.7007,0.161325,0.173018,-0.216484,-0.0147261,0.391758,0.492637
14.6564,18.3962,-11.8808,0.146199,0.156698,-0.216694,-0.016823,0.391653,0.491588
14.5694,16.2397,-1.4015,0.0874092,0.0903629,-0.164198,-0.0683731,0.417901,0.465813
15.0963,18.2995,7.29345,0.108392,0.115224,-0.154757,0.0245902,0.422621,0.512295
13.8257,18.2567,22.2327,0.114607,0.124776,-0.234345,0.011037,0.382828,0.505518
13.0007,16.8506,-6.49228,0.0851785,0.0920263,-0.254702,-0.0339952,0.372649,0.483002
14.0081,18.3548,9.42043,0.107578,0.116969,-0.217137,0.0257869,0.391432,0.512893
13.9555,17.8352,-133.517,0.106141,0.114429,-0.218803,-0.00162658,0.390599,0.499187
13.4938,17.5954,-30.6258,0.0990507,0.10735,-0.2389,-0.00755396,0.38055,0.496223
13.6104,15.7704,-2.27175,0.0528245,0.0552494,-0.186036,-0.0568614,0.406982,0.471569
14.0264,16.3554,-12.8061,0.0445812,0.0467857,-0.151835,-0.0109977,0.424082,0.494501
13.0417,17.2838,11.2416,0.0607326,0.0662311,-0.228592,0.02232,0.385704,0.51116
12.6924,15.9262,-6.69796,0.0373761,0.0400319,-0.226499,-0.0294233,0.38675,0.485288
12.9512,15.3344,-4.51188,0.011849,0.0124811,-0.183537,-0.0332984,0.408232,0.483351
13.6976,15.1174,-3.85729,-0.00631728,-0.00651807,-0.115457,-0.0237698,0.442272,0.488115
13.5224,16.8396,4.79918,0.0256935,0.0275536,-0.162614,0.0428023,0.418693,0.521401
12.7953,16.1907,160.208,0.0262755,0.0282522,-0.208677,0.00131072,0.395662,0.500655
14.1657,17.6161,4.67041,0.0608195,0.0651987,-0.160667,0.0437735,0.419667,0.521887
14.0676,18.2098,6.10165,0.0911018,0.0987828,-0.197556,0.0387239,0.401222,0.519362
13.4759,17.152,-19.5079,0.0813045,0.0875109,-0.222862,-0.0108671,0.388569,0.494566
13.9986,18.4777,7.75352,0.107858,0.117559,-0.217956,0.0322729,0.391022,0.516136
13.1513,17.1021,-10.0168,0.087845,0.0950536,-0.248346,-0.0225425,0.375827,0.488729
13.7377,16.0892,-3.4135,0.0556359,0.0584022,-0.181212,-0.0410585,0.409394,0.479471
14.4216,18.7541,4.26648,0.101357,0.110157,-0.186994,0.0572464,0.406503,0.528623
14.9117,18.3174,11.6743,0.115639,0.123367,-0.172755,0.0161843,0.413622,0.508092
